tripduration,stoptime,end station id,end station name,end station latitude,end station longitude,bikeid,birth year
542,2015-01-01T00:30:00,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,277,1984
438,2015-01-01T00:34:00,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,648,1985
254,2015-01-01T00:35:00,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,555,1974
432,2015-01-01T01:00:00,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1307,1987
735,2015-01-01T01:19:00,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,177,1986
311,2015-01-01T01:33:00,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,685,1989
1259,2015-01-01T01:55:00,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,940,1964
338,2015-01-01T02:38:00,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,656,1981
429,2015-01-01T04:49:00,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,134,1989
289,2015-01-01T08:05:00,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,23,1993
276,2015-01-01T08:26:00,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,23,1993
1476,2015-01-01T08:53:00,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,842,1978
1095,2015-01-01T09:16:00,23,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,959,1988
446,2015-01-01T09:22:00,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1306,1988
426,2015-01-01T09:33:00,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,854,1989
1274,2015-01-01T10:23:00,46,Christian Science Plaza,42.343864,-71.085918,703,1982
539,2015-01-01T10:36:00,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,656,1985
793,2015-01-01T10:46:00,115,Porter Square Station,42.387995,-71.119084,738,1991
479,2015-01-01T10:51:00,141,Kendall Street,42.36356016,-71.08216792,1113,1984
365,2015-01-01T10:54:00,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,549,1962
1747,2015-01-01T11:22:00,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,784,\N
645,2015-01-01T11:04:00,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,716,1982
686,2015-01-01T11:10:00,6,Cambridge St. at Joy St.,42.361174,-71.065142,804,1964
331,2015-01-01T11:32:00,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,868,1962
436,2015-01-01T11:45:00,115,Porter Square Station,42.387995,-71.119084,742,1987
415,2015-01-01T11:50:00,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1277,1986
276,2015-01-01T11:54:00,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,739,1989
306,2015-01-01T11:56:00,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,664,1977
271,2015-01-01T11:56:00,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,661,1986
472,2015-01-01T12:22:00,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1292,\N
333,2015-01-01T12:22:00,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,921,\N
233,2015-01-01T12:25:00,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,442,1988
603,2015-01-01T12:37:00,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,876,1987
515,2015-01-01T12:39:00,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,652,1970
504,2015-01-01T12:44:00,117,Binney St / Sixth St,42.366095,-71.086388,646,1960
472,2015-01-01T12:44:00,117,Binney St / Sixth St,42.366095,-71.086388,770,1954
823,2015-01-01T12:50:00,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1265,1980
189,2015-01-01T12:44:00,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1047,1988
398,2015-01-01T12:52:00,107,Ames St at Main St,42.3625,-71.08822,1277,1986
196,2015-01-01T12:50:00,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1047,1988
761,2015-01-01T13:16:00,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,779,1991
441,2015-01-01T13:15:00,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1276,1985
484,2015-01-01T13:20:00,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,868,1989
470,2015-01-01T13:20:00,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,983,\N
1453,2015-01-01T13:37:00,143,EF - North Point Park,42.369885,-71.069957,656,1988
1454,2015-01-01T13:47:00,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,1083,\N
1405,2015-01-01T13:47:00,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,854,\N
