Recycling,Lat,Long
F,42.34083,-71.056827
F,42.340617,-71.056623
F,42.341301,-71.056373
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.340463,-71.056653
F,42.34088,-71.0568
F,42.340757,-71.056464
F,42.340812,-71.056406
F,42.34091,-71.0564
F,42.34143,-71.0562
F,42.34146,-71.05574
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.34138,-71.05643
F,42.341124,-71.056036
F,42.34138,-71.05643
F,42.341327,-71.056348
F,42.361619,-71.142035
F,42.36131,-71.14177
F,42.36127,-71.14214
F,42.36127,-71.14214
F,42.36159,-71.1423
F,42.36413,-71.05595
F,42.364212,-71.055763
F,42.36427,-71.05602
F,42.36427,-71.05602
F,42.36427,-71.05602
F,42.36427,-71.05602
F,42.364168,-71.056083
F,42.364168,-71.056083
F,42.364168,-71.056083
F,42.364168,-71.056083
F,42.36425,-71.05596
F,42.36427,-71.05602
F,42.364168,-71.056083
F,42.364262,-71.056024
F,42.364305,-71.056128
F,42.36425,-71.05596
F,42.36425,-71.05596
F,42.36425,-71.05596
F,42.36425,-71.05596
F,42.36427,-71.05602
F,42.364168,-71.056083
F,42.364168,-71.056083
F,42.364168,-71.056083
F,42.36424,-71.05589
F,42.36413,-71.05595
F,42.36413,-71.05595
F,42.309906,-71.1071
F,42.310035,-71.107012
F,42.30977,-71.10717
F,42.36144,-71.14148
F,42.27406,-71.16126
F,42.2741,-71.16136
F,42.27359,-71.16107
F,42.27364,-71.16121
F,42.27364,-71.16121
F,42.36424,-71.05589
F,42.36424,-71.05589
F,42.36424,-71.05589
F,42.36424,-71.05589
F,42.309769,-71.107194
F,42.309769,-71.107194
F,42.31138,-71.10369
F,42.311154,-71.103649
F,42.311241,-71.103913
F,42.31126,-71.10348
F,42.311295,-71.103466
F,42.311295,-71.103466
F,42.35761,-71.06857
F,42.357633,-71.068486
F,42.35752,-71.06898
F,42.3575,-71.06905
F,42.35749,-71.0691
F,42.357619,-71.068464
F,42.295426,-71.056487
F,42.29556,-71.05676
F,42.29554,-71.05691
F,42.29535,-71.05682
F,42.29554,-71.05691
F,42.298644,-71.057847
F,42.298564,-71.057967
F,42.289118,-71.05545
F,42.361603,-71.141688
F,42.36133,-71.14194
F,42.361322,-71.142005
F,42.36127,-71.14214
F,42.36127,-71.14214
F,42.27364,-71.16121
F,42.27394,-71.161
F,42.27399,-71.16113
F,42.2738,-71.16144
F,42.299956,-71.058007
F,42.299882,-71.058388
F,42.299579,-71.058864
F,42.29932,-71.05856
F,42.298581,-71.056838
F,42.29836,-71.05737
F,42.29846,-71.05679
F,42.29805,-71.05721
F,42.29795,-71.05711
F,42.29782,-71.05706
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.31142,-71.10385
F,42.31142,-71.10385
