Recycling,Lat,Long
M,42.29728,-71.08586
M,42.29704,-71.08625
M,42.29713,-71.08573
M,42.29694,-71.08618
M,42.29684,-71.085591
M,42.29684,-71.085591
M,42.29684,-71.085591
M,42.29684,-71.085591
M,42.296622,-71.085443
M,42.29647,-71.08595
M,42.29648,-71.08544
M,42.29629,-71.08589
M,42.29606,-71.08533
M,42.29595,-71.085259
M,42.29579,-71.08563
M,42.29584,-71.08523
M,42.297404,-71.086086
M,42.297404,-71.086086
M,42.29723,-71.0865
M,42.29723,-71.0865
M,42.29744,-71.08605
M,42.29702,-71.08567
M,42.29682,-71.08612
M,42.29682,-71.08612
M,42.29682,-71.08612
M,42.297729,-71.08663
M,42.29684,-71.085591
M,42.29671,-71.08607
M,42.29672,-71.08554
M,42.2966,-71.08602
M,42.2963,-71.08538
M,42.29617,-71.08585
M,42.29619,-71.08534
M,42.29605,-71.08577
M,42.2977,-71.08643
M,42.2976,-71.08628
M,42.29723,-71.0865
M,42.29723,-71.0865
M,42.29723,-71.0865
M,42.29728,-71.08586
M,42.29704,-71.08625
M,42.29704,-71.08625
M,42.29704,-71.08625
M,42.29713,-71.08573
M,42.29694,-71.08618
M,42.29702,-71.08567
M,42.29702,-71.08567
M,42.29702,-71.08567
M,42.29671,-71.08607
M,42.29672,-71.08554
M,42.29672,-71.08554
M,42.29672,-71.08554
M,42.29647,-71.08595
M,42.29647,-71.08595
M,42.29648,-71.08544
M,42.29648,-71.08544
M,42.29648,-71.08544
M,42.2963,-71.08538
M,42.2963,-71.08538
M,42.29617,-71.08585
M,42.29617,-71.08585
M,42.29605,-71.08577
M,42.29605,-71.08577
M,42.29605,-71.08577
M,42.29606,-71.08533
M,42.29584,-71.08523
M,42.29584,-71.08523
M,42.29584,-71.08523
M,42.2977,-71.08643
M,42.2976,-71.08628
M,42.2976,-71.08628
M,42.2976,-71.08628
M,42.2976,-71.08628
M,42.2974,-71.08673
M,42.2974,-71.08673
M,42.2974,-71.08673
M,42.2974,-71.08673
M,42.31494,-71.09302
M,42.31432,-71.09218
M,42.31423,-71.09188
M,42.31489,-71.09276
M,42.31457,-71.09202
M,42.3141,-71.09137
M,42.31404,-71.09127
M,42.31451,-71.09184
M,42.31443,-71.0925
M,42.31443,-71.0925
M,42.315013,-71.09321
M,42.314127,-71.091503
M,42.31465,-71.09318
M,42.31465,-71.09318
M,42.31465,-71.09318
M,42.315,-71.09322
M,42.315,-71.09322
M,42.315,-71.09322
M,42.315,-71.09322
M,42.315,-71.09322
M,42.31494,-71.09302
M,42.31494,-71.09302
M,42.31494,-71.09302
M,42.31494,-71.09302
M,42.31494,-71.09302
M,42.31432,-71.09218
M,42.31432,-71.09218
M,42.31476,-71.09254
M,42.31476,-71.09254
M,42.31466,-71.09218
M,42.31414,-71.09149
M,42.31414,-71.09149
M,42.31414,-71.09149
M,42.3141,-71.09137
M,42.31451,-71.09184
M,42.31451,-71.09184
M,42.31451,-71.09184
M,42.31504,-71.09338
M,42.31504,-71.09338
M,42.31504,-71.09338
M,42.31504,-71.09338
M,42.31504,-71.09338
M,42.29723,-71.0865
M,42.296802,-71.086176
M,42.29723,-71.0865
M,42.29723,-71.0865
M,42.29723,-71.0865
M,42.29723,-71.0865
M,42.29723,-71.0865
M,42.29723,-71.0865
M,42.29723,-71.0865
M,42.29728,-71.08586
M,42.29713,-71.08573
M,42.29713,-71.08573
M,42.29694,-71.08618
M,42.29694,-71.08618
M,42.297729,-71.08663
M,42.297729,-71.08663
M,42.29671,-71.08607
M,42.29671,-71.08607
M,42.2966,-71.08602
M,42.2966,-71.08602
M,42.2966,-71.08602
M,42.29647,-71.08595
M,42.29629,-71.08589
M,42.29629,-71.08589
M,42.29629,-71.08589
M,42.2963,-71.08538
M,42.29617,-71.08585
M,42.29619,-71.08534
M,42.29619,-71.08534
M,42.29619,-71.08534
M,42.29606,-71.08533
M,42.29606,-71.08533
M,42.29579,-71.08563
M,42.29579,-71.08563
M,42.29584,-71.08523
M,42.2977,-71.08643
M,42.2977,-71.08643
M,42.2977,-71.08643
M,42.2976,-71.08628
M,42.2976,-71.08628
M,42.2974,-71.08673
M,42.2974,-71.08673
M,42.2974,-71.08673
M,42.2974,-71.08673
M,42.2974,-71.08673
M,42.2974,-71.08673
M,42.2974,-71.08673
M,42.2974,-71.08673
M,42.297384,-71.086669
M,42.297283,-71.086456
M,42.31465,-71.09318
M,42.31437,-71.09235
M,42.31476,-71.09254
M,42.3147,-71.09235
M,42.3146,-71.09301
M,42.31466,-71.09218
M,42.31454,-71.09285
M,42.31448,-71.09268
M,42.31443,-71.0925
M,42.31443,-71.0925
M,42.315,-71.09322
M,42.315,-71.09322
M,42.315,-71.09322
M,42.315,-71.09322
M,42.31437,-71.09235
M,42.31437,-71.09235
M,42.31437,-71.09235
M,42.31494,-71.09302
M,42.31494,-71.09302
M,42.31494,-71.09302
M,42.31494,-71.09302
M,42.31432,-71.09218
M,42.3146,-71.09301
M,42.3146,-71.09301
M,42.3146,-71.09301
M,42.31466,-71.09218
M,42.31457,-71.09202
M,42.31457,-71.09202
M,42.3141,-71.09137
M,42.3141,-71.09137
M,42.31504,-71.09338
M,42.31504,-71.09338
M,42.31504,-71.09338
M,42.31504,-71.09338
M,42.31504,-71.09338
M,42.31448,-71.09268
M,42.31504,-71.09338
M,42.31448,-71.09268
M,42.31448,-71.09268
M,42.328752,-71.088617
M,42.328715,-71.088553
M,42.328243,-71.087624
M,42.3282,-71.087911
M,42.328257,-71.0881
M,42.32841,-71.08833
M,42.30795,-71.11629
M,42.30784,-71.11625
M,42.307971,-71.116219
M,42.35235,-71.16691
M,42.35248,-71.16688
M,42.352613,-71.1669
M,42.35278,-71.16689
M,42.35198,-71.16692
M,42.35224,-71.16691
M,42.351966,-71.166944
M,42.32855,-71.07623
M,42.328033,-71.076957
M,42.327979,-71.076998
M,42.328053,-71.076902
M,42.328039,-71.077346
M,42.329051,-71.07561
M,42.328762,-71.076529
M,42.328722,-71.076545
M,42.32854,-71.07671
M,42.32854,-71.07671
M,42.32852,-71.07686
M,42.32861,-71.076624
M,42.328074,-71.087609
M,42.30795,-71.11629
M,42.30795,-71.11629
M,42.30795,-71.11629
M,42.352075,-71.16692
M,42.352216,-71.166908
M,42.352325,-71.166908
M,42.352325,-71.166908
M,42.35294,-71.16689
M,42.352,-71.16653
M,42.35182,-71.16691
M,42.352784,-71.166918
M,42.352952,-71.166925
M,42.35294,-71.16689
M,42.35182,-71.16691
M,42.35182,-71.16691
M,42.327933,-71.076912
M,42.32751,-71.078046
M,42.327912,-71.077039
M,42.32875,-71.07656
M,42.32875,-71.07656
M,42.32875,-71.07656
M,42.32854,-71.07671
M,42.329051,-71.07561
M,42.328042,-71.07734
M,42.328088,-71.087673
M,42.328105,-71.087729
M,42.328119,-71.087799
M,42.32856,-71.08871
M,42.32859,-71.08877
M,42.328932,-71.089202
M,42.328678,-71.089487
M,42.32876,-71.08953
M,42.329057,-71.089367
M,42.32878,-71.08957
M,42.32878,-71.08957
M,42.32881,-71.0898
M,42.329111,-71.08947
M,42.32914,-71.08962
M,42.329031,-71.090089
M,42.328276,-71.088143
M,42.32852,-71.08865
M,42.32852,-71.08865
M,42.32852,-71.08865
M,42.32859,-71.08877
M,42.32859,-71.08877
M,42.32914,-71.08962
M,42.32914,-71.08962
M,42.2915,-71.16283
M,42.28814,-71.16492
M,42.29163,-71.1626
M,42.28865,-71.16521
M,42.28923,-71.16489
M,42.28915,-71.16441
M,42.28937,-71.16479
M,42.2893,-71.16429
M,42.28988,-71.16444
M,42.28973,-71.16404
M,42.28987,-71.16395
M,42.29001,-71.16384
M,42.29,-71.16431
M,42.29045,-71.16402
M,42.29039,-71.16356
M,42.29061,-71.16391
M,42.29076,-71.16381
M,42.32572,-71.08477
M,42.32561,-71.08559
M,42.32552,-71.0854
M,42.32609,-71.08579
M,42.32545,-71.08521
M,42.32541,-71.08503
M,42.32564,-71.08484
M,42.325603,-71.084597
M,42.3255,-71.0845
M,42.32571,-71.08594
M,42.325808,-71.084941
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32609,-71.08579
M,42.32571,-71.08594
M,42.32571,-71.08594
M,42.32571,-71.08594
M,42.32569,-71.08586
M,42.277266,-71.101312
M,42.27691,-71.10141
M,42.274272,-71.104226
M,42.274182,-71.104314
M,42.273327,-71.105176
M,42.273259,-71.105246
M,42.273215,-71.105293
M,42.273172,-71.105335
M,42.272906,-71.10497
M,42.272953,-71.104925
M,42.272994,-71.104881
M,42.273038,-71.104836
M,42.272587,-71.105291
M,42.272631,-71.105244
M,42.272678,-71.105201
M,42.272744,-71.105133
M,42.27436,-71.103479
M,42.274582,-71.103253
M,42.276831,-71.100971
M,42.277545,-71.100243
M,42.27703,-71.10134
M,42.27677,-71.10155
M,42.27641,-71.10151
M,42.27626,-71.10165
M,42.27877,-71.09885
M,42.275474,-71.102359
M,42.27493,-71.103
M,42.27898,-71.0991
M,42.273365,-71.104511
M,42.27857,-71.09907
M,42.272859,-71.105017
M,42.27861,-71.09965
M,42.27928,-71.09863
M,42.27842,-71.09931
M,42.278583,-71.099841
M,42.27806,-71.09977
M,42.27827,-71.10004
M,42.27818,-71.10019
M,42.27795,-71.0999
M,42.27806,-71.10029
M,42.27746,-71.10087
M,42.2792,-71.09878
M,42.27729,-71.1006
M,42.27739,-71.101
M,42.27666,-71.10124
M,42.27729,-71.1011
M,42.27713,-71.10128
M,42.278663,-71.098889
M,42.275092,-71.102748
M,42.27898,-71.0991
M,42.291992,-71.153742
M,42.29215,-71.15444
M,42.29194,-71.15409
M,42.29222,-71.15426
M,42.29204,-71.15394
M,42.29163,-71.15459
M,42.292084,-71.154573
M,42.29184,-71.15425
M,42.29184,-71.15425
M,42.29215,-71.15444
M,42.29215,-71.15444
M,42.29239,-71.15405
M,42.29239,-71.15405
M,42.32113,-71.07844
M,42.32089,-71.07877
M,42.3211,-71.07834
M,42.32108,-71.07827
M,42.32102,-71.07814
M,42.32072,-71.07839
M,42.32098,-71.07808
M,42.32068,-71.07825
M,42.32134,-71.07891
M,42.32134,-71.07891
M,42.32105,-71.07912
M,42.32105,-71.07912
M,42.32105,-71.07912
M,42.32105,-71.07912
M,42.32105,-71.07912
M,42.32105,-71.07912
M,42.32105,-71.07912
M,42.32113,-71.07844
M,42.32089,-71.07877
M,42.32089,-71.07877
M,42.32089,-71.07877
M,42.32125,-71.07957
M,42.32125,-71.07957
M,42.32125,-71.07957
M,42.32125,-71.07957
M,42.32125,-71.07957
M,42.32102,-71.07814
M,42.32102,-71.07814
M,42.32102,-71.07814
M,42.32068,-71.07825
M,42.32068,-71.07825
M,42.32068,-71.07825
M,42.32056,-71.07797
M,42.32116,-71.07935
M,42.32116,-71.07935
M,42.32116,-71.07935
M,42.32116,-71.07935
M,42.32116,-71.07935
M,42.330266,-71.077908
M,42.33079,-71.07793
M,42.34221,-71.08306
M,42.34221,-71.08306
M,42.34221,-71.08306
M,42.34221,-71.08306
M,42.34217,-71.083
M,42.34217,-71.083
M,42.34214,-71.08295
M,42.34214,-71.08295
M,42.34214,-71.08295
M,42.342102,-71.08289
M,42.342102,-71.08289
M,42.342072,-71.08283
M,42.342072,-71.08283
M,42.34233,-71.08323
M,42.34233,-71.08323
M,42.34233,-71.08323
M,42.34233,-71.08323
M,42.34229,-71.08317
M,42.34229,-71.08317
M,42.34229,-71.08317
M,42.34225,-71.08311
M,42.34225,-71.08311
M,42.342465,-71.082716
M,42.342151,-71.082988
M,42.342465,-71.082716
M,42.342465,-71.082716
M,42.342465,-71.082716
M,42.342465,-71.082716
M,42.280475,-71.158841
M,42.28039,-71.15912
M,42.28069,-71.15913
M,42.2805,-71.15926
M,42.2808,-71.15925
M,42.25317,-71.11538
M,42.2532,-71.11484
M,42.253072,-71.114593
M,42.25266,-71.11492
M,42.252532,-71.114779
M,42.25337,-71.11556
M,42.253438,-71.115013
M,42.253022,-71.115216
M,42.28729,-71.16732
M,42.28749,-71.16703
M,42.28693,-71.1669
M,42.28738,-71.16742
M,42.25009,-71.11891
M,42.25033,-71.1193
M,42.24996,-71.11909
M,42.25028,-71.11951
M,42.28843,-71.16527
M,42.29116,-71.16303
M,42.28831,-71.16487
M,42.28898,-71.16508
M,42.2891,-71.16497
M,42.28897,-71.16459
M,42.28963,-71.16464
M,42.28944,-71.16421
M,42.28975,-71.16453
M,42.28959,-71.16412
M,42.29015,-71.16373
M,42.28815,-71.16536
M,42.290329,-71.164109
M,42.29027,-71.16365
M,42.29083,-71.16331
M,42.29101,-71.16316
M,42.29772,-71.07353
M,42.29794,-71.07392
M,42.29765,-71.07376
M,42.29789,-71.07416
M,42.29743,-71.07462
M,42.29743,-71.07462
M,42.29743,-71.07462
M,42.29768,-71.07495
M,42.29759,-71.0753
M,42.29731,-71.07552
M,42.29763,-71.0755
M,42.29735,-71.07574
M,42.297303,-71.075497
M,42.29774,-71.075897
M,42.29762,-71.0734
M,42.29762,-71.0734
M,42.29762,-71.0734
M,42.29762,-71.0734
M,42.29772,-71.07353
M,42.29772,-71.07353
M,42.29772,-71.07353
M,42.29772,-71.07353
M,42.29765,-71.07376
M,42.29765,-71.07376
M,42.29765,-71.07376
M,42.29765,-71.07376
M,42.29789,-71.07416
M,42.29768,-71.07495
M,42.32577,-71.08474
M,42.32582,-71.08472
M,42.32587,-71.08469
M,42.325852,-71.086419
M,42.32586,-71.08528
M,42.32582,-71.08513
M,42.325801,-71.084951
M,42.32571,-71.086186
M,42.32569,-71.08586
M,42.32562,-71.08567
M,42.32586,-71.086415
M,42.326107,-71.08605
M,42.325808,-71.084941
M,42.32561,-71.08559
M,42.32561,-71.08559
M,42.32552,-71.0854
M,42.32609,-71.08579
M,42.32609,-71.08579
