Recycling,Lat,Long
TH,42.34373,-71.05391
TH,42.344599,-71.053304
TH,42.348834,-71.049489
TH,42.34374,-71.05273
TH,42.34471,-71.0532
TH,42.344837,-71.053148
TH,42.348224,-71.051298
TH,42.346818,-71.05151
TH,42.347022,-71.050817
TH,42.347762,-71.050048
TH,42.348403,-71.050211
TH,42.349391,-71.049735
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.34196,-71.05484
TH,42.34243,-71.05507
TH,42.34243,-71.05507
TH,42.34243,-71.05507
TH,42.34887,-71.0507
TH,42.348668,-71.048422
TH,42.34929,-71.04893
TH,42.342773,-71.054661
TH,42.346569,-71.051069
TH,42.347172,-71.050659
TH,42.348288,-71.049447
TH,42.348528,-71.049726
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.34702,-71.05082
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.34726,-71.05065
TH,42.34739,-71.05054
TH,42.341983,-71.054557
TH,42.341962,-71.054524
TH,42.341962,-71.054524
TH,42.346567,-71.051118
TH,42.348135,-71.04995
TH,42.347461,-71.047083
TH,42.343177,-71.053735
TH,42.344958,-71.05306
TH,42.345023,-71.052891
TH,42.348306,-71.049819
TH,42.348944,-71.048991
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.349446,-71.049447
TH,42.342211,-71.055287
TH,42.342541,-71.054846
TH,42.34241,-71.05461
TH,42.342447,-71.054567
TH,42.34895,-71.04899
TH,42.342804,-71.054567
TH,42.34174,-71.055801
TH,42.34219,-71.054848
TH,42.342411,-71.054617
TH,42.344793,-71.052538
TH,42.348288,-71.049447
TH,42.348834,-71.049489
TH,42.347022,-71.050817
TH,42.34702,-71.05082
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.347022,-71.050817
TH,42.34857,-71.0501
TH,42.34857,-71.0501
TH,42.341983,-71.054557
TH,42.341983,-71.054557
TH,42.344952,-71.156008
TH,42.34564,-71.15504
TH,42.34554,-71.1547
TH,42.345407,-71.154759
TH,42.34536,-71.15525
TH,42.34458,-71.15525
TH,42.34684,-71.15426
TH,42.34622,-71.1542
TH,42.3463,-71.15474
TH,42.34608,-71.15427
TH,42.34615,-71.15477
TH,42.34533,-71.154745
TH,42.34533,-71.154745
TH,42.34533,-71.154745
TH,42.345705,-71.15411
TH,42.34567,-71.15458
TH,42.34505,-71.15502
TH,42.34684,-71.15426
TH,42.34684,-71.15426
TH,42.34622,-71.1542
TH,42.34608,-71.15427
TH,42.34608,-71.15427
TH,42.34608,-71.15427
TH,42.34601,-71.15488
TH,42.34601,-71.15488
TH,42.33794,-71.03015
TH,42.33772,-71.03013
TH,42.33772,-71.03013
TH,42.33772,-71.03013
TH,42.33779,-71.02983
TH,42.33781,-71.03014
TH,42.33781,-71.03014
TH,42.33781,-71.03014
TH,42.33781,-71.03014
TH,42.337717,-71.030182
TH,42.33794,-71.03015
TH,42.33794,-71.03015
TH,42.28098,-71.12244
TH,42.28088,-71.1226
TH,42.28078,-71.12272
TH,42.28098,-71.12244
TH,42.28098,-71.12244
TH,42.338486,-71.04879
TH,42.30383,-71.06007
TH,42.300359,-71.059597
TH,42.28794,-71.05568
TH,42.2842,-71.056637
TH,42.283972,-71.056876
TH,42.284137,-71.056733
TH,42.274513,-71.06291
TH,42.274314,-71.06353
TH,42.273094,-71.065146
TH,42.273395,-71.065082
TH,42.27572,-71.06165
TH,42.27541,-71.06134
TH,42.27561,-71.06175
TH,42.27528,-71.06143
TH,42.27478,-71.06189
TH,42.27478,-71.06189
TH,42.27478,-71.06189
TH,42.274688,-71.061987
TH,42.27444,-71.06221
TH,42.27464,-71.0627
TH,42.27436,-71.06232
TH,42.27402,-71.06266
TH,42.27393,-71.06276
TH,42.27369,-71.06307
TH,42.27361,-71.06319
TH,42.27387,-71.06359
TH,42.27344,-71.06339
TH,42.27374,-71.06368
TH,42.27308,-71.0641
TH,42.27331,-71.06449
TH,42.27296,-71.06426
TH,42.27289,-71.06445
TH,42.27273,-71.06488
TH,42.272678,-71.06506
TH,42.272973,-71.065173
TH,42.27252,-71.0656
TH,42.27276,-71.06577
TH,42.2727,-71.06598
TH,42.27257,-71.06654
TH,42.27257,-71.06654
TH,42.27257,-71.06654
TH,42.27257,-71.06654
TH,42.27257,-71.06654
TH,42.27257,-71.06654
TH,42.27257,-71.06654
TH,42.27257,-71.06654
TH,42.27257,-71.06654
TH,42.272455,-71.067291
TH,42.272175,-71.06717
TH,42.272437,-71.067551
TH,42.27247,-71.06779
TH,42.271326,-71.069437
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.344786,-71.155674
TH,42.344626,-71.155968
TH,42.34583,-71.15449
TH,42.34567,-71.15458
TH,42.34577,-71.15495
TH,42.34505,-71.15502
TH,42.3451,-71.15556
TH,42.34485,-71.15511
TH,42.3467,-71.15435
TH,42.3465,-71.15446
TH,42.34641,-71.15415
TH,42.34641,-71.15415
TH,42.34641,-71.15415
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271326,-71.069437
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.271392,-71.068853
TH,42.3045,-71.06094
TH,42.30422,-71.0608
TH,42.30411,-71.06076
TH,42.30401,-71.0607
TH,42.30336,-71.06089
TH,42.30325,-71.06085
TH,42.303237,-71.060231
TH,42.30267,-71.06012
TH,42.30256,-71.06013
TH,42.30224,-71.06
TH,42.301722,-71.060135
TH,42.30156,-71.06007
TH,42.301484,-71.060038
TH,42.30077,-71.05951
TH,42.300819,-71.058991
TH,42.300559,-71.059377
TH,42.30056,-71.05896
TH,42.34595,-71.15437
TH,42.34601,-71.15488
TH,42.34533,-71.154745
TH,42.345786,-71.154511
TH,42.34583,-71.15449
TH,42.34583,-71.15449
TH,42.34583,-71.15449
TH,42.34567,-71.15458
TH,42.34684,-71.15426
TH,42.3465,-71.15446
TH,42.34648,-71.15447
TH,42.34622,-71.1542
TH,42.34613,-71.15477
TH,42.34613,-71.15477
TH,42.34595,-71.15437
TH,42.34595,-71.15437
TH,42.337722,-71.029796
TH,42.33772,-71.03013
TH,42.33786,-71.02983
TH,42.33786,-71.02983
TH,42.33786,-71.02983
TH,42.33781,-71.03014
TH,42.337832,-71.030182
TH,42.33779,-71.02983
TH,42.33779,-71.02983
TH,42.33779,-71.02983
TH,42.281048,-71.122313
TH,42.2878,-71.0553
TH,42.28801,-71.0549
TH,42.28769,-71.05522
TH,42.28793,-71.05484
TH,42.28758,-71.05513
TH,42.28728,-71.05488
TH,42.28717,-71.05484
TH,42.28727,-71.05439
TH,42.28707,-71.05479
TH,42.287,-71.05429
TH,42.28696,-71.05475
TH,42.28696,-71.05475
TH,42.28696,-71.05475
TH,42.2869,-71.05426
TH,42.28635,-71.05487
TH,42.28607,-71.05497
TH,42.28593,-71.05505
TH,42.28569,-71.05516
TH,42.28586,-71.0546
TH,42.285483,-71.055279
TH,42.285483,-71.055279
TH,42.285493,-71.055487
TH,42.285493,-71.055487
TH,42.285493,-71.055487
TH,42.285493,-71.055487
TH,42.285392,-71.055578
TH,42.285392,-71.055578
TH,42.285392,-71.055578
TH,42.285392,-71.055578
TH,42.28563,-71.05468
TH,42.28518,-71.05535
TH,42.28551,-71.05472
TH,42.28525,-71.05483
TH,42.28525,-71.05483
TH,42.28511,-71.05487
TH,42.28499,-71.0549
TH,42.28446,-71.05597
TH,42.28473,-71.05502
TH,42.28433,-71.05686
TH,42.28453,-71.05507
TH,42.28424,-71.05523
TH,42.28406,-71.05641
TH,42.28373,-71.05536
TH,42.28405,-71.05587
TH,42.28327,-71.05557
TH,42.283394,-71.055886
TH,42.28335,-71.0559
TH,42.28316,-71.05602
TH,42.28158,-71.05863
TH,42.28145,-71.0586
TH,42.28132,-71.05862
TH,42.28116,-71.05903
TH,42.28098,-71.05849
TH,42.28098,-71.05849
TH,42.28098,-71.05849
TH,42.28094,-71.05948
TH,42.28091,-71.05848
TH,42.28089,-71.05981
TH,42.28078,-71.05851
TH,42.28057,-71.05852
TH,42.2803,-71.05912
TH,42.27878,-71.05512
TH,42.27987,-71.05926
TH,42.27968,-71.05937
TH,42.27906,-71.059664
TH,42.27893,-71.05965
TH,42.27759,-71.06036
TH,42.28397,-71.055271
TH,42.301468,-71.060031
TH,42.301825,-71.060191
TH,42.301521,-71.05958
TH,42.338514,-71.048704
TH,42.322532,-71.069276
TH,42.322053,-71.069361
TH,42.32121,-71.06944
TH,42.3212,-71.06909
TH,42.3213,-71.06942
TH,42.32139,-71.0694
TH,42.321691,-71.069355
TH,42.32182,-71.06934
TH,42.32186,-71.06934
TH,42.321844,-71.069311
TH,42.32199,-71.06932
TH,42.3208,-71.06919
TH,42.322687,-71.068891
TH,42.32278,-71.06887
TH,42.32284,-71.06949
TH,42.321,-71.06913
TH,42.32166,-71.0694
TH,42.32107,-71.06947
TH,42.32121,-71.06944
TH,42.3213,-71.06942
TH,42.3213,-71.06942
TH,42.32199,-71.06932
TH,42.32237,-71.06892
TH,42.32253,-71.0689
TH,42.283093,-71.055609
TH,42.288195,-71.055141
TH,42.283805,-71.055331
TH,42.281494,-71.059033
TH,42.281494,-71.059033
TH,42.287638,-71.054579
TH,42.281494,-71.059033
TH,42.281494,-71.059033
TH,42.281494,-71.059033
TH,42.273119,-71.065056
TH,42.287638,-71.054579
TH,42.271542,-71.068695
TH,42.30443,-71.060834
TH,42.30443,-71.060834
TH,42.30443,-71.060834
TH,42.30443,-71.060834
TH,42.30325,-71.060833
TH,42.288517,-71.055158
TH,42.288101,-71.055024
TH,42.287776,-71.055343
TH,42.287665,-71.055252
TH,42.286052,-71.055021
TH,42.286174,-71.053877
TH,42.285841,-71.054564
TH,42.285201,-71.055322
TH,42.277475,-71.060439
TH,42.273932,-71.062299
TH,42.273157,-71.063773
TH,42.272627,-71.065041
TH,42.2769,-71.06093
TH,42.2769,-71.06093
TH,42.27572,-71.06165
TH,42.27572,-71.06165
TH,42.2755,-71.06194
TH,42.27513,-71.06154
TH,42.27513,-71.06154
TH,42.27513,-71.06154
TH,42.27436,-71.06232
TH,42.27436,-71.06232
TH,42.27402,-71.06266
TH,42.27369,-71.06307
TH,42.27369,-71.06307
TH,42.27361,-71.06319
TH,42.27361,-71.06319
TH,42.27319,-71.06378
TH,42.27296,-71.06426
TH,42.27296,-71.06426
TH,42.27276,-71.0647
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
TH,42.27193,-71.06612
