Recycling,Lat,Long
T,42.250617,-71.125035
T,42.250365,-71.124881
T,42.250293,-71.124531
T,42.25046,-71.1254
T,42.250583,-71.125669
T,42.250268,-71.124537
T,42.309417,-71.067645
T,42.30924,-71.06745
T,42.30915,-71.06756
T,42.30936,-71.06779
T,42.30907,-71.06763
T,42.30885,-71.0679
T,42.30905,-71.06822
T,42.30896,-71.06835
T,42.30875,-71.06807
T,42.30876,-71.06864
T,42.30876,-71.06864
T,42.30876,-71.06864
T,42.3085,-71.06842
T,42.30818,-71.06883
T,42.30841,-71.06915
T,42.30812,-71.069
T,42.30787,-71.06981
T,42.30747,-71.06979
T,42.307611,-71.070171
T,42.30734,-71.07005
T,42.30756,-71.07026
T,42.30744,-71.07044
T,42.309284,-71.06802
T,42.30936,-71.06779
T,42.30936,-71.06779
T,42.30936,-71.06779
T,42.30914,-71.06756
T,42.30914,-71.06756
T,42.30926,-71.06799
T,42.30926,-71.06799
T,42.30902,-71.0677
T,42.30902,-71.0677
T,42.30894,-71.06778
T,42.30894,-71.06778
T,42.30894,-71.06778
T,42.30885,-71.0679
T,42.30896,-71.06835
T,42.30896,-71.06835
T,42.30896,-71.06835
T,42.30875,-71.06807
T,42.30875,-71.06807
T,42.30857,-71.0683
T,42.30857,-71.0683
T,42.30857,-71.0683
T,42.3085,-71.06842
T,42.30859,-71.06888
T,42.30859,-71.06888
T,42.30837,-71.06855
T,42.30837,-71.06855
T,42.30829,-71.0687
T,42.30818,-71.06883
T,42.30818,-71.06883
T,42.30818,-71.06883
T,42.30841,-71.06915
T,42.30787,-71.06981
T,42.30787,-71.06981
T,42.30787,-71.06981
T,42.3076,-71.06961
T,42.30747,-71.06979
T,42.30747,-71.06979
T,42.30747,-71.06979
T,42.30768,-71.07005
T,42.30725,-71.07018
T,42.30725,-71.07018
T,42.35302,-71.14253
T,42.35327,-71.14253
T,42.35304,-71.14272
T,42.353299,-71.142335
T,42.35327,-71.14253
T,42.35327,-71.14253
T,42.309326,-71.067929
T,42.30926,-71.06799
T,42.30902,-71.0677
T,42.30919,-71.06809
T,42.30894,-71.06778
T,42.308881,-71.068516
T,42.30865,-71.06817
T,42.30857,-71.0683
T,42.30876,-71.06864
T,42.30869,-71.06875
T,42.30859,-71.06888
T,42.30837,-71.06855
T,42.30849,-71.06903
T,42.30829,-71.0687
T,42.3076,-71.06961
T,42.307795,-71.069935
T,42.307568,-71.069787
T,42.30769,-71.07004
T,42.30756,-71.07026
T,42.30756,-71.07026
T,42.30756,-71.07026
T,42.30725,-71.07018
T,42.308594,-71.068897
T,42.30924,-71.06745
T,42.30924,-71.06745
T,42.30924,-71.06745
T,42.30907,-71.06763
T,42.30907,-71.06763
T,42.30907,-71.06763
T,42.30926,-71.06799
T,42.30902,-71.0677
T,42.30919,-71.06809
T,42.30919,-71.06809
T,42.30919,-71.06809
T,42.30885,-71.0679
T,42.30905,-71.06822
T,42.30905,-71.06822
T,42.30905,-71.06822
T,42.30875,-71.06807
T,42.30865,-71.06817
T,42.30865,-71.06817
T,42.30865,-71.06817
T,42.3085,-71.06842
T,42.30869,-71.06875
T,42.30869,-71.06875
T,42.30869,-71.06875
T,42.30837,-71.06855
T,42.30849,-71.06903
T,42.30849,-71.06903
T,42.30829,-71.0687
T,42.30841,-71.06915
T,42.30841,-71.06915
T,42.30812,-71.069
T,42.30812,-71.069
T,42.3076,-71.06961
T,42.30769,-71.07004
T,42.30769,-71.07004
T,42.30769,-71.07004
T,42.30768,-71.07005
T,42.30768,-71.07005
T,42.30734,-71.07005
T,42.30734,-71.07005
T,42.30734,-71.07005
T,42.3533,-71.14273
T,42.35305,-71.14288
T,42.346289,-71.103615
T,42.34628,-71.10398
T,42.34628,-71.10398
T,42.34628,-71.10398
T,42.34628,-71.10398
T,42.34628,-71.10398
T,42.34628,-71.10398
T,42.34628,-71.10398
T,42.34628,-71.10398
T,42.34628,-71.10398
T,42.34634,-71.10364
T,42.34619,-71.10394
T,42.34619,-71.10394
T,42.34619,-71.10394
T,42.34619,-71.10394
T,42.34613,-71.10391
T,42.34613,-71.10391
T,42.34613,-71.10391
T,42.34613,-71.10391
T,42.34613,-71.10391
T,42.34613,-71.10391
T,42.34606,-71.10387
T,42.34606,-71.10387
T,42.34599,-71.10384
T,42.34599,-71.10384
T,42.34599,-71.10384
T,42.34599,-71.10384
T,42.34599,-71.10384
T,42.34599,-71.10384
T,42.34599,-71.10384
T,42.34642,-71.10403
T,42.34642,-71.10403
