day,lat,lon
Wednesday,42.25412,-71.12746
Wednesday,42.253835,-71.127445
Wednesday,42.25382,-71.12742
Wednesday,42.25401,-71.12725
Wednesday,42.253363,-71.126745
Wednesday,42.25365,-71.12651
Wednesday,42.25418,-71.12758
Wednesday,42.25385,-71.12747
Wednesday,42.25385,-71.12747
Wednesday,42.25365,-71.12651
Wednesday,42.25409,-71.12823
Wednesday,42.25444,-71.12804
Wednesday,42.25384,-71.127446
Wednesday,42.254041,-71.127227
Wednesday,42.25365,-71.12651
Wednesday,42.378903,-71.065733
Wednesday,42.378943,-71.064716
Wednesday,42.37888,-71.064762
Wednesday,42.377681,-71.062458
Wednesday,42.37731,-71.06156
Wednesday,42.37724,-71.06199
Wednesday,42.378979,-71.065842
Wednesday,42.37915,-71.06565
Wednesday,42.37902,-71.06595
Wednesday,42.37919,-71.06578
Wednesday,42.37919,-71.06578
Wednesday,42.37919,-71.06578
Wednesday,42.37919,-71.06578
Wednesday,42.3774,-71.06184
Wednesday,42.37911,-71.06623
Wednesday,42.37925,-71.06597
Wednesday,42.37913,-71.06629
Wednesday,42.37932,-71.0662
Wednesday,42.37919,-71.06647
Wednesday,42.379338,-71.066269
Wednesday,42.37936,-71.06635
Wednesday,42.37941,-71.06642
Wednesday,42.37748,-71.06194
Wednesday,42.37748,-71.06194
Wednesday,42.37755,-71.06215
Wednesday,42.37732,-71.06217
Wednesday,42.37762,-71.06229
Wednesday,42.37764,-71.06235
Wednesday,42.37781,-71.06266
Wednesday,42.37781,-71.06266
Wednesday,42.37769,-71.06297
Wednesday,42.37769,-71.06297
Wednesday,42.37769,-71.06297
Wednesday,42.37769,-71.06297
Wednesday,42.377909,-71.062875
Wednesday,42.37775,-71.06309
Wednesday,42.377965,-71.063008
Wednesday,42.377965,-71.063008
Wednesday,42.377965,-71.063008
Wednesday,42.3783,-71.0637
Wednesday,42.3783,-71.0637
Wednesday,42.37719,-71.06188
Wednesday,42.37719,-71.06188
Wednesday,42.37719,-71.06188
Wednesday,42.37719,-71.06188
Wednesday,42.378772,-71.064742
Wednesday,42.378772,-71.064742
Wednesday,42.37854,-71.06478
Wednesday,42.37881,-71.06484
Wednesday,42.3786,-71.06496
Wednesday,42.3786,-71.06496
Wednesday,42.378868,-71.064978
Wednesday,42.378868,-71.064978
Wednesday,42.378907,-71.065077
Wednesday,42.378907,-71.065077
Wednesday,42.378907,-71.065077
Wednesday,42.37866,-71.06502
Wednesday,42.378902,-71.065629
Wednesday,42.379093,-71.0655
Wednesday,42.379093,-71.0655
Wednesday,42.379093,-71.0655
Wednesday,42.37911,-71.06557
Wednesday,42.37911,-71.06557
Wednesday,42.377267,-71.061383
Wednesday,42.377999,-71.063582
Wednesday,42.37815,-71.063465
Wednesday,42.37915,-71.06565
Wednesday,42.37915,-71.06565
Wednesday,42.37925,-71.06597
Wednesday,42.37925,-71.06597
Wednesday,42.37925,-71.06597
Wednesday,42.37929,-71.06606
Wednesday,42.3793,-71.06613
Wednesday,42.37932,-71.0662
Wednesday,42.37932,-71.0662
Wednesday,42.37932,-71.0662
Wednesday,42.37738,-71.06166
Wednesday,42.37772,-71.06304
Wednesday,42.377939,-71.062945
Wednesday,42.377939,-71.062945
Wednesday,42.37802,-71.06316
Wednesday,42.37881,-71.06484
