Long	Lat	the_geom	OBJECTID	TYPE	name
-71.10061884	42.34011512	POINT(-71.100618839502 42.3401151222775)	1	HUBWAY_STATION	Colleges of the Fenway - Fenway at Avenue Louis Pasteur
-71.069616	42.345392	POINT(-71.0696160000585 42.3453920000846)	2	HUBWAY_STATION	Tremont St at E Berkeley St
-71.090179	42.341814	POINT(-71.0901790001556 42.341813999823)	3	HUBWAY_STATION	Northeastern University - North Parking Lot
-71.06520966	42.36130407	POINT(-71.0652096566903 42.3613040698147)	4	HUBWAY_STATION	Cambridge St at Joy St
-71.04388475	42.3529408	POINT(-71.0438847540782 42.3529408021537)	5	HUBWAY_STATION	Fan Pier
-71.137313	42.353334	POINT(-71.1373130003438 42.3533339996817)	6	HUBWAY_STATION	Union Square - Brighton Ave at Cambridge St
-71.115639	42.351246	POINT(-71.1156389998358 42.3512460001077)	7	HUBWAY_STATION	Commonwealth Ave at Buick St
-71.108279	42.350406	POINT(-71.1082790003051 42.3504059999201)	8	HUBWAY_STATION	B.U. Central - 725 Comm. Ave.
-71.1065	42.338629	POINT(-71.1065000000726 42.3386289997914)	9	HUBWAY_STATION	Longwood Ave at Binney St
-71.08801916	42.3362824	POINT(-71.0880191627517 42.3362823983669)	10	HUBWAY_STATION	Ruggles T Stop - Columbus Ave at Melnea Cass Blvd
-71.073089	42.336437	POINT(-71.0730890001346 42.3364369997222)	11	HUBWAY_STATION	Boston Medical Center - E Concord St at Harrison Ave
-71.10286117	42.33741748	POINT(-71.1028611656052 42.337417484329)	12	HUBWAY_STATION	HMS/HSPH - Avenue Louis Pasteur at Longwood Ave
-71.13776207	42.36154571	POINT(-71.137762069951 42.3615457078876)	13	HUBWAY_STATION	Brighton Mills - 370 Western Ave
-71.07657015	42.34807412	POINT(-71.0765701533202 42.3480741234718)	14	HUBWAY_STATION	Back Bay T Stop - Dartmouth St at Stuart St
-71.119233	42.365064	POINT(-71.1192330002858 42.3650639998337)	15	HUBWAY_STATION	Soldiers Field Park - 111 Western Ave
-71.105301	42.347241	POINT(-71.1053009997983 42.3472410003041)	16	HUBWAY_STATION	Park Dr at Buswell St
-71.05142981	42.35991176	POINT(-71.0514298083541 42.3599117611424)	17	HUBWAY_STATION	Aquarium T Stop - 200 Atlantic Ave
-71.082578	42.345959	POINT(-71.0825779997022 42.3459589999787)	18	HUBWAY_STATION	Prudential Center - Belvedere St
-71.055547	42.352175	POINT(-71.0555470002019 42.3521750003054)	19	HUBWAY_STATION	South Station - 700 Atlantic Ave
-71.057629	42.35892	POINT(-71.0576290003831 42.3589200002167)	20	HUBWAY_STATION	Boston City Hall - 28 State St
-71.04436085	42.35148193	POINT(-71.0443608459074 42.35148193431)	21	HUBWAY_STATION	Seaport Square - Seaport Blvd at Northern Ave
-71.076847	42.341332	POINT(-71.0768469997178 42.3413319999052)	22	HUBWAY_STATION	South End Library - Tremont St at W Newton St
-71.068922	42.341522	POINT(-71.0689220002975 42.3415219997657)	23	HUBWAY_STATION	Washington St at Waltham St
-71.095171	42.331184	POINT(-71.0951710001732 42.3311840002391)	24	HUBWAY_STATION	Roxbury Crossing T Stop - Columbus Ave at Tremont St
-71.124565	42.363732	POINT(-71.124565000062 42.3637319997761)	25	HUBWAY_STATION	Innovation Lab - 125 Western Ave at Batten Way
-71.10507935	42.33439781	POINT(-71.1050793530784 42.3343978116893)	26	HUBWAY_STATION	Brigham Circle - Francis St at Huntington Ave
-71.04199782	42.3489605	POINT(-71.041997820366 42.3489604974031)	27	HUBWAY_STATION	Seaport Hotel - Congress St at Seaport Ln
-71.10169709	42.34519429	POINT(-71.1016970873375 42.3451942895771)	28	HUBWAY_STATION	Landmark Center - Brookline Ave at Park Dr
-71.097009	42.348706	POINT(-71.0970089999569 42.3487060001734)	29	HUBWAY_STATION	Kenmore Square
-71.05825603	42.35530156	POINT(-71.0582560298413 42.3553015608946)	30	HUBWAY_STATION	Arch St at Franklin St
-71.07732654	42.34976701	POINT(-71.0773265365861 42.349767010059)	31	HUBWAY_STATION	Copley Square - Dartmouth St at Boylston St
-71.1467354	42.35732922	POINT(-71.1467353997146 42.357329218922)	32	HUBWAY_STATION	New Balance - 20 Guest St
-71.07404083	42.3385146	POINT(-71.0740408298568 42.3385146020002)	33	HUBWAY_STATION	Washington St at Rutland St
-71.050877	42.363871	POINT(-71.0508770003996 42.3638709999498)	34	HUBWAY_STATION	Lewis Wharf at Atlantic Ave
-71.123831	42.352261	POINT(-71.1238310001181 42.3522610001002)	35	HUBWAY_STATION	Packard's Corner - Commonwealth Ave at Brighton Ave
-71.070627	42.352033	POINT(-71.0706270000118 42.3520330001087)	36	HUBWAY_STATION	Boylston St at Arlington St
-71.050699	42.357143	POINT(-71.0506990001243 42.3571430001515)	37	HUBWAY_STATION	Rowes Wharf at Atlantic Ave
-71.057452	42.360613	POINT(-71.0574519999328 42.3606130002543)	38	HUBWAY_STATION	Congress St at North St
