day,lat,lon
Friday,42.34083,-71.056827
Friday,42.340617,-71.056623
Friday,42.341301,-71.056373
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.340463,-71.056653
Friday,42.34088,-71.0568
Friday,42.340757,-71.056464
Friday,42.340812,-71.056406
Friday,42.34091,-71.0564
Friday,42.34143,-71.0562
Friday,42.34146,-71.05574
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.34138,-71.05643
Friday,42.341124,-71.056036
Friday,42.34138,-71.05643
Friday,42.341327,-71.056348
Friday,42.361619,-71.142035
Friday,42.36131,-71.14177
Friday,42.36127,-71.14214
Friday,42.36127,-71.14214
Friday,42.36159,-71.1423
Friday,42.36413,-71.05595
Friday,42.364212,-71.055763
Friday,42.36427,-71.05602
Friday,42.36427,-71.05602
Friday,42.36427,-71.05602
Friday,42.36427,-71.05602
Friday,42.364168,-71.056083
Friday,42.364168,-71.056083
Friday,42.364168,-71.056083
Friday,42.364168,-71.056083
Friday,42.36425,-71.05596
Friday,42.36427,-71.05602
Friday,42.364168,-71.056083
Friday,42.364262,-71.056024
Friday,42.364305,-71.056128
Friday,42.36425,-71.05596
Friday,42.36425,-71.05596
Friday,42.36425,-71.05596
Friday,42.36425,-71.05596
Friday,42.36427,-71.05602
Friday,42.364168,-71.056083
Friday,42.364168,-71.056083
Friday,42.364168,-71.056083
Friday,42.36424,-71.05589
Friday,42.36413,-71.05595
Friday,42.36413,-71.05595
Friday,42.309906,-71.1071
Friday,42.310035,-71.107012
Friday,42.30977,-71.10717
Friday,42.36144,-71.14148
Friday,42.27406,-71.16126
Friday,42.2741,-71.16136
Friday,42.27359,-71.16107
Friday,42.27364,-71.16121
Friday,42.27364,-71.16121
Friday,42.36424,-71.05589
Friday,42.36424,-71.05589
Friday,42.36424,-71.05589
Friday,42.36424,-71.05589
Friday,42.309769,-71.107194
Friday,42.309769,-71.107194
Friday,42.31138,-71.10369
Friday,42.311154,-71.103649
Friday,42.311241,-71.103913
Friday,42.31126,-71.10348
Friday,42.311295,-71.103466
Friday,42.311295,-71.103466
Friday,42.35761,-71.06857
Friday,42.357633,-71.068486
Friday,42.35752,-71.06898
Friday,42.3575,-71.06905
Friday,42.35749,-71.0691
Friday,42.357619,-71.068464
Friday,42.295426,-71.056487
Friday,42.29556,-71.05676
Friday,42.29554,-71.05691
Friday,42.29535,-71.05682
Friday,42.29554,-71.05691
Friday,42.298644,-71.057847
Friday,42.298564,-71.057967
Friday,42.289118,-71.05545
Friday,42.361603,-71.141688
Friday,42.36133,-71.14194
Friday,42.361322,-71.142005
Friday,42.36127,-71.14214
Friday,42.36127,-71.14214
Friday,42.27364,-71.16121
Friday,42.27394,-71.161
Friday,42.27399,-71.16113
Friday,42.2738,-71.16144
Friday,42.299956,-71.058007
Friday,42.299882,-71.058388
Friday,42.299579,-71.058864
Friday,42.29932,-71.05856
Friday,42.298581,-71.056838
Friday,42.29836,-71.05737
Friday,42.29846,-71.05679
Friday,42.29805,-71.05721
Friday,42.29795,-71.05711
Friday,42.29782,-71.05706
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.31142,-71.10385
Friday,42.31142,-71.10385
Friday,42.31142,-71.10385
Friday,42.31142,-71.10385
Friday,42.311381,-71.103703
Friday,42.3576,-71.06865
Friday,42.35757,-71.06874
Friday,42.35755,-71.06882
Friday,42.35754,-71.0689
Friday,42.35761,-71.06857
Friday,42.35761,-71.06857
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.29804,-71.05661
Friday,42.29764,-71.05705
Friday,42.29776,-71.05645
Friday,42.29681,-71.05634
Friday,42.29681,-71.05634
Friday,42.29681,-71.05634
Friday,42.29681,-71.05634
