day,lat,lon
Monday,42.29728,-71.08586
Monday,42.29704,-71.08625
Monday,42.29713,-71.08573
Monday,42.29694,-71.08618
Monday,42.29684,-71.085591
Monday,42.29684,-71.085591
Monday,42.29684,-71.085591
Monday,42.29684,-71.085591
Monday,42.296622,-71.085443
Monday,42.29647,-71.08595
Monday,42.29648,-71.08544
Monday,42.29629,-71.08589
Monday,42.29606,-71.08533
Monday,42.29595,-71.085259
Monday,42.29579,-71.08563
Monday,42.29584,-71.08523
Monday,42.297404,-71.086086
Monday,42.297404,-71.086086
Monday,42.29723,-71.0865
Monday,42.29723,-71.0865
Monday,42.29744,-71.08605
Monday,42.29702,-71.08567
Monday,42.29682,-71.08612
Monday,42.29682,-71.08612
Monday,42.29682,-71.08612
Monday,42.297729,-71.08663
Monday,42.29684,-71.085591
Monday,42.29671,-71.08607
Monday,42.29672,-71.08554
Monday,42.2966,-71.08602
Monday,42.2963,-71.08538
Monday,42.29617,-71.08585
Monday,42.29619,-71.08534
Monday,42.29605,-71.08577
Monday,42.2977,-71.08643
Monday,42.2976,-71.08628
Monday,42.29723,-71.0865
Monday,42.29723,-71.0865
Monday,42.29723,-71.0865
Monday,42.29728,-71.08586
Monday,42.29704,-71.08625
Monday,42.29704,-71.08625
Monday,42.29704,-71.08625
Monday,42.29713,-71.08573
Monday,42.29694,-71.08618
Monday,42.29702,-71.08567
Monday,42.29702,-71.08567
Monday,42.29702,-71.08567
Monday,42.29671,-71.08607
Monday,42.29672,-71.08554
Monday,42.29672,-71.08554
Monday,42.29672,-71.08554
Monday,42.29647,-71.08595
Monday,42.29647,-71.08595
Monday,42.29648,-71.08544
Monday,42.29648,-71.08544
Monday,42.29648,-71.08544
Monday,42.2963,-71.08538
Monday,42.2963,-71.08538
Monday,42.29617,-71.08585
Monday,42.29617,-71.08585
Monday,42.29605,-71.08577
Monday,42.29605,-71.08577
Monday,42.29605,-71.08577
Monday,42.29606,-71.08533
Monday,42.29584,-71.08523
Monday,42.29584,-71.08523
Monday,42.29584,-71.08523
Monday,42.2977,-71.08643
Monday,42.2976,-71.08628
Monday,42.2976,-71.08628
Monday,42.2976,-71.08628
Monday,42.2976,-71.08628
Monday,42.2974,-71.08673
Monday,42.2974,-71.08673
Monday,42.2974,-71.08673
Monday,42.2974,-71.08673
Monday,42.31494,-71.09302
Monday,42.31432,-71.09218
Monday,42.31423,-71.09188
Monday,42.31489,-71.09276
Monday,42.31457,-71.09202
Monday,42.3141,-71.09137
Monday,42.31404,-71.09127
Monday,42.31451,-71.09184
Monday,42.31443,-71.0925
Monday,42.31443,-71.0925
Monday,42.315013,-71.09321
Monday,42.314127,-71.091503
Monday,42.31465,-71.09318
Monday,42.31465,-71.09318
Monday,42.31465,-71.09318
Monday,42.315,-71.09322
Monday,42.315,-71.09322
Monday,42.315,-71.09322
Monday,42.315,-71.09322
Monday,42.315,-71.09322
Monday,42.31494,-71.09302
Monday,42.31494,-71.09302
Monday,42.31494,-71.09302
Monday,42.31494,-71.09302
Monday,42.31494,-71.09302
Monday,42.31432,-71.09218
Monday,42.31432,-71.09218
Monday,42.31476,-71.09254
Monday,42.31476,-71.09254
Monday,42.31466,-71.09218
Monday,42.31414,-71.09149
Monday,42.31414,-71.09149
Monday,42.31414,-71.09149
Monday,42.3141,-71.09137
Monday,42.31451,-71.09184
Monday,42.31451,-71.09184
Monday,42.31451,-71.09184
Monday,42.31504,-71.09338
Monday,42.31504,-71.09338
Monday,42.31504,-71.09338
Monday,42.31504,-71.09338
Monday,42.31504,-71.09338
Monday,42.29723,-71.0865
Monday,42.296802,-71.086176
Monday,42.29723,-71.0865
Monday,42.29723,-71.0865
Monday,42.29723,-71.0865
Monday,42.29723,-71.0865
Monday,42.29723,-71.0865
Monday,42.29723,-71.0865
Monday,42.29723,-71.0865
Monday,42.29728,-71.08586
Monday,42.29713,-71.08573
Monday,42.29713,-71.08573
Monday,42.29694,-71.08618
Monday,42.29694,-71.08618
Monday,42.297729,-71.08663
Monday,42.297729,-71.08663
Monday,42.29671,-71.08607
Monday,42.29671,-71.08607
Monday,42.2966,-71.08602
Monday,42.2966,-71.08602
Monday,42.2966,-71.08602
Monday,42.29647,-71.08595
Monday,42.29629,-71.08589
Monday,42.29629,-71.08589
Monday,42.29629,-71.08589
Monday,42.2963,-71.08538
Monday,42.29617,-71.08585
Monday,42.29619,-71.08534
Monday,42.29619,-71.08534
Monday,42.29619,-71.08534
Monday,42.29606,-71.08533
Monday,42.29606,-71.08533
Monday,42.29579,-71.08563
Monday,42.29579,-71.08563
Monday,42.29584,-71.08523
Monday,42.2977,-71.08643
Monday,42.2977,-71.08643
Monday,42.2977,-71.08643
Monday,42.2976,-71.08628
