day,lat,lon
Thursday,42.34373,-71.05391
Thursday,42.344599,-71.053304
Thursday,42.348834,-71.049489
Thursday,42.34374,-71.05273
Thursday,42.34471,-71.0532
Thursday,42.344837,-71.053148
Thursday,42.348224,-71.051298
Thursday,42.346818,-71.05151
Thursday,42.347022,-71.050817
Thursday,42.347762,-71.050048
Thursday,42.348403,-71.050211
Thursday,42.349391,-71.049735
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.34196,-71.05484
Thursday,42.34243,-71.05507
Thursday,42.34243,-71.05507
Thursday,42.34243,-71.05507
Thursday,42.34887,-71.0507
Thursday,42.348668,-71.048422
Thursday,42.34929,-71.04893
Thursday,42.342773,-71.054661
Thursday,42.346569,-71.051069
Thursday,42.347172,-71.050659
Thursday,42.348288,-71.049447
Thursday,42.348528,-71.049726
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.34702,-71.05082
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.347022,-71.050817
Thursday,42.34726,-71.05065
Thursday,42.34739,-71.05054
Thursday,42.341983,-71.054557
Thursday,42.341962,-71.054524
Thursday,42.341962,-71.054524
Thursday,42.346567,-71.051118
Thursday,42.348135,-71.04995
Thursday,42.347461,-71.047083
Thursday,42.343177,-71.053735
Thursday,42.344958,-71.05306
Thursday,42.345023,-71.052891
Thursday,42.348306,-71.049819
Thursday,42.348944,-71.048991
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
Thursday,42.349446,-71.049447
