day,lat,lon
Tuesday,42.250617,-71.125035
Tuesday,42.250365,-71.124881
Tuesday,42.250293,-71.124531
Tuesday,42.25046,-71.1254
Tuesday,42.250583,-71.125669
Tuesday,42.250268,-71.124537
Tuesday,42.309417,-71.067645
Tuesday,42.30924,-71.06745
Tuesday,42.30915,-71.06756
Tuesday,42.30936,-71.06779
Tuesday,42.30907,-71.06763
Tuesday,42.30885,-71.0679
Tuesday,42.30905,-71.06822
Tuesday,42.30896,-71.06835
Tuesday,42.30875,-71.06807
Tuesday,42.30876,-71.06864
Tuesday,42.30876,-71.06864
Tuesday,42.30876,-71.06864
Tuesday,42.3085,-71.06842
Tuesday,42.30818,-71.06883
Tuesday,42.30841,-71.06915
Tuesday,42.30812,-71.069
Tuesday,42.30787,-71.06981
Tuesday,42.30747,-71.06979
Tuesday,42.307611,-71.070171
Tuesday,42.30734,-71.07005
Tuesday,42.30756,-71.07026
Tuesday,42.30744,-71.07044
Tuesday,42.309284,-71.06802
Tuesday,42.30936,-71.06779
Tuesday,42.30936,-71.06779
Tuesday,42.30936,-71.06779
Tuesday,42.30914,-71.06756
Tuesday,42.30914,-71.06756
Tuesday,42.30926,-71.06799
Tuesday,42.30926,-71.06799
Tuesday,42.30902,-71.0677
Tuesday,42.30902,-71.0677
Tuesday,42.30894,-71.06778
Tuesday,42.30894,-71.06778
Tuesday,42.30894,-71.06778
Tuesday,42.30885,-71.0679
Tuesday,42.30896,-71.06835
Tuesday,42.30896,-71.06835
Tuesday,42.30896,-71.06835
Tuesday,42.30875,-71.06807
Tuesday,42.30875,-71.06807
Tuesday,42.30857,-71.0683
Tuesday,42.30857,-71.0683
Tuesday,42.30857,-71.0683
Tuesday,42.3085,-71.06842
Tuesday,42.30859,-71.06888
Tuesday,42.30859,-71.06888
Tuesday,42.30837,-71.06855
Tuesday,42.30837,-71.06855
Tuesday,42.30829,-71.0687
Tuesday,42.30818,-71.06883
Tuesday,42.30818,-71.06883
Tuesday,42.30818,-71.06883
Tuesday,42.30841,-71.06915
Tuesday,42.30787,-71.06981
Tuesday,42.30787,-71.06981
Tuesday,42.30787,-71.06981
Tuesday,42.3076,-71.06961
Tuesday,42.30747,-71.06979
Tuesday,42.30747,-71.06979
Tuesday,42.30747,-71.06979
Tuesday,42.30768,-71.07005
Tuesday,42.30725,-71.07018
Tuesday,42.30725,-71.07018
Tuesday,42.35302,-71.14253
Tuesday,42.35327,-71.14253
Tuesday,42.35304,-71.14272
Tuesday,42.353299,-71.142335
Tuesday,42.35327,-71.14253
Tuesday,42.35327,-71.14253
Tuesday,42.309326,-71.067929
Tuesday,42.30926,-71.06799
Tuesday,42.30902,-71.0677
Tuesday,42.30919,-71.06809
Tuesday,42.30894,-71.06778
Tuesday,42.308881,-71.068516
Tuesday,42.30865,-71.06817
Tuesday,42.30857,-71.0683
Tuesday,42.30876,-71.06864
Tuesday,42.30869,-71.06875
Tuesday,42.30859,-71.06888
Tuesday,42.30837,-71.06855
Tuesday,42.30849,-71.06903
Tuesday,42.30829,-71.0687
Tuesday,42.3076,-71.06961
Tuesday,42.307795,-71.069935
Tuesday,42.307568,-71.069787
Tuesday,42.30769,-71.07004
Tuesday,42.30756,-71.07026
Tuesday,42.30756,-71.07026
Tuesday,42.30756,-71.07026
Tuesday,42.30725,-71.07018
Tuesday,42.308594,-71.068897
Tuesday,42.30924,-71.06745
Tuesday,42.30924,-71.06745
Tuesday,42.30924,-71.06745
Tuesday,42.30907,-71.06763
Tuesday,42.30907,-71.06763
Tuesday,42.30907,-71.06763
Tuesday,42.30926,-71.06799
Tuesday,42.30902,-71.0677
Tuesday,42.30919,-71.06809
Tuesday,42.30919,-71.06809
Tuesday,42.30919,-71.06809
Tuesday,42.30885,-71.0679
Tuesday,42.30905,-71.06822
Tuesday,42.30905,-71.06822
Tuesday,42.30905,-71.06822
Tuesday,42.30875,-71.06807
Tuesday,42.30865,-71.06817
Tuesday,42.30865,-71.06817
Tuesday,42.30865,-71.06817
Tuesday,42.3085,-71.06842
Tuesday,42.30869,-71.06875
Tuesday,42.30869,-71.06875
Tuesday,42.30869,-71.06875
Tuesday,42.30837,-71.06855
Tuesday,42.30849,-71.06903
Tuesday,42.30849,-71.06903
Tuesday,42.30829,-71.0687
Tuesday,42.30841,-71.06915
Tuesday,42.30841,-71.06915
Tuesday,42.30812,-71.069
Tuesday,42.30812,-71.069
Tuesday,42.3076,-71.06961
Tuesday,42.30769,-71.07004
Tuesday,42.30769,-71.07004
Tuesday,42.30769,-71.07004
Tuesday,42.30768,-71.07005
Tuesday,42.30768,-71.07005
Tuesday,42.30734,-71.07005
Tuesday,42.30734,-71.07005
Tuesday,42.30734,-71.07005
Tuesday,42.3533,-71.14273
Tuesday,42.35305,-71.14288
Tuesday,42.346289,-71.103615
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34634,-71.10364
Tuesday,42.34619,-71.10394
Tuesday,42.34619,-71.10394
Tuesday,42.34619,-71.10394
Tuesday,42.34619,-71.10394
Tuesday,42.34613,-71.10391
Tuesday,42.34613,-71.10391
Tuesday,42.34613,-71.10391
Tuesday,42.34613,-71.10391
Tuesday,42.34613,-71.10391
Tuesday,42.34613,-71.10391
Tuesday,42.34606,-71.10387
Tuesday,42.34606,-71.10387
Tuesday,42.34599,-71.10384
Tuesday,42.34599,-71.10384
Tuesday,42.34599,-71.10384
Tuesday,42.34599,-71.10384
Tuesday,42.34599,-71.10384
Tuesday,42.34599,-71.10384
Tuesday,42.34599,-71.10384
Tuesday,42.34642,-71.10403
Tuesday,42.34642,-71.10403
Tuesday,42.34642,-71.10403
Tuesday,42.34642,-71.10403
Tuesday,42.34642,-71.10403
Tuesday,42.34642,-71.10403
Tuesday,42.34642,-71.10403
Tuesday,42.34647,-71.1037
Tuesday,42.34592,-71.10381
Tuesday,42.34592,-71.10381
Tuesday,42.34592,-71.10381
Tuesday,42.34577,-71.10375
Tuesday,42.34577,-71.10375
Tuesday,42.34577,-71.10375
Tuesday,42.34577,-71.10375
Tuesday,42.34577,-71.10375
Tuesday,42.34857,-71.15311
Tuesday,42.348399,-71.152784
Tuesday,42.34824,-71.15285
Tuesday,42.34792,-71.15306
Tuesday,42.34765,-71.15293
Tuesday,42.348777,-71.152574
Tuesday,42.348724,-71.152606
Tuesday,42.348724,-71.152606
Tuesday,42.34824,-71.15285
Tuesday,42.34807,-71.15297
Tuesday,42.34803,-71.153
Tuesday,42.34803,-71.153
Tuesday,42.347537,-71.152807
Tuesday,42.251415,-71.139337
Tuesday,42.251681,-71.13965
Tuesday,42.34641,-71.10367
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34628,-71.10398
Tuesday,42.34634,-71.10364
Tuesday,42.34634,-71.10364
Tuesday,42.34634,-71.10364
Tuesday,42.34619,-71.10394
Tuesday,42.34619,-71.10394
Tuesday,42.34619,-71.10394
Tuesday,42.34619,-71.10394
Tuesday,42.34613,-71.10391
Tuesday,42.34613,-71.10391
Tuesday,42.34613,-71.10391
Tuesday,42.34613,-71.10391
Tuesday,42.34606,-71.10387
Tuesday,42.34606,-71.10387
Tuesday,42.34606,-71.10387
Tuesday,42.34606,-71.10387
Tuesday,42.34599,-71.10384
Tuesday,42.34599,-71.10384
Tuesday,42.34599,-71.10384
Tuesday,42.34599,-71.10384
Tuesday,42.34592,-71.10381
Tuesday,42.34585,-71.10379
Tuesday,42.34577,-71.10375
Tuesday,42.34618,-71.10355
Tuesday,42.34642,-71.10403
Tuesday,42.34642,-71.10403
Tuesday,42.34642,-71.10403
Tuesday,42.34642,-71.10403
Tuesday,42.34642,-71.10403
Tuesday,42.346184,-71.104
Tuesday,42.34585,-71.10379
Tuesday,42.34585,-71.10379
Tuesday,42.34585,-71.10379
Tuesday,42.34585,-71.10379
Tuesday,42.34577,-71.10375
Tuesday,42.34577,-71.10375
Tuesday,42.34577,-71.10375
Tuesday,42.34577,-71.10375
Tuesday,42.348655,-71.153002
Tuesday,42.34807,-71.15297
Tuesday,42.34889,-71.15253
Tuesday,42.34803,-71.153
Tuesday,42.34798,-71.15303
Tuesday,42.302392,-71.060605
Tuesday,42.348798,-71.152919
Tuesday,42.348879,-71.152505
Tuesday,42.34807,-71.15297
Tuesday,42.34807,-71.15297
Tuesday,42.34807,-71.15297
Tuesday,42.34803,-71.153
Tuesday,42.34803,-71.153
Tuesday,42.251726,-71.13974
Tuesday,42.251771,-71.139833
Tuesday,42.25185,-71.14007
Tuesday,42.304337,-71.062629
Tuesday,42.30286,-71.06079
Tuesday,42.317557,-71.109605
Tuesday,42.317732,-71.11001
Tuesday,42.317732,-71.11001
Tuesday,42.317732,-71.11001
Tuesday,42.317583,-71.110103
Tuesday,42.317583,-71.110103
Tuesday,42.317583,-71.110103
Tuesday,42.317583,-71.110103
Tuesday,42.317583,-71.110103
Tuesday,42.31745,-71.11017
Tuesday,42.317312,-71.109754
Tuesday,42.31717,-71.10986
Tuesday,42.31728,-71.11026
Tuesday,42.31703,-71.10996
Tuesday,42.316922,-71.110032
Tuesday,42.316922,-71.110032
Tuesday,42.316922,-71.110032
Tuesday,42.31803,-71.10974
Tuesday,42.31785,-71.10988
Tuesday,42.31785,-71.10988
Tuesday,42.31741,-71.10969
Tuesday,42.31717,-71.10986
Tuesday,42.31717,-71.10986
Tuesday,42.31728,-71.11026
Tuesday,42.31728,-71.11026
Tuesday,42.31813,-71.10967
Tuesday,42.31813,-71.10967
Tuesday,42.3179,-71.1094
Tuesday,42.3179,-71.1094
Tuesday,42.317593,-71.110102
Tuesday,42.31812,-71.10992
Tuesday,42.31812,-71.10992
Tuesday,42.31812,-71.10992
Tuesday,42.31805,-71.11023
Tuesday,42.31805,-71.11023
Tuesday,42.313,-71.11772
Tuesday,42.31326,-71.11737
Tuesday,42.31334,-71.11775
Tuesday,42.313,-71.11772
Tuesday,42.31318,-71.11788
Tuesday,42.31318,-71.11788
Tuesday,42.34197,-71.07434
Tuesday,42.34222,-71.07418
Tuesday,42.341815,-71.074506
Tuesday,42.342146,-71.073679
Tuesday,42.34222,-71.07418
Tuesday,42.34222,-71.07418
Tuesday,42.34222,-71.07418
Tuesday,42.34222,-71.07418
Tuesday,42.28871,-71.06686
Tuesday,42.28871,-71.06686
Tuesday,42.28871,-71.06686
Tuesday,42.28871,-71.06686
Tuesday,42.28553,-71.06585
Tuesday,42.28571,-71.06591
Tuesday,42.286,-71.06549
Tuesday,42.28587,-71.06595
Tuesday,42.28653,-71.06631
Tuesday,42.28667,-71.06581
Tuesday,42.28675,-71.06637
Tuesday,42.28687,-71.06591
Tuesday,42.28732,-71.06673
Tuesday,42.28762,-71.066259
Tuesday,42.28751,-71.0668
Tuesday,42.2878,-71.06633
Tuesday,42.28812,-71.0665
Tuesday,42.28795,-71.06701
Tuesday,42.28795,-71.06701
Tuesday,42.28795,-71.06701
Tuesday,42.28673,-71.066366
Tuesday,42.28673,-71.066366
Tuesday,42.28673,-71.066366
Tuesday,42.287472,-71.066828
Tuesday,42.287937,-71.067043
Tuesday,42.288728,-71.066826
Tuesday,42.288795,-71.066911
Tuesday,42.28851,-71.06719
Tuesday,42.28851,-71.06719
Tuesday,42.28851,-71.06719
Tuesday,42.28587,-71.06595
Tuesday,42.28603,-71.06606
Tuesday,42.28603,-71.06606
Tuesday,42.28623,-71.06542
Tuesday,42.28653,-71.06631
Tuesday,42.28667,-71.06581
Tuesday,42.28667,-71.06581
Tuesday,42.28724,-71.06606
Tuesday,42.28724,-71.06606
Tuesday,42.2878,-71.06633
Tuesday,42.2878,-71.06633
Tuesday,42.28582,-71.06542
Tuesday,42.28582,-71.06542
Tuesday,42.28847,-71.06674
Tuesday,42.28847,-71.06674
Tuesday,42.336617,-71.069539
Tuesday,42.331992,-71.07517
Tuesday,42.342076,-71.063209
Tuesday,42.34529,-71.06182
Tuesday,42.34486,-71.06202
Tuesday,42.343759,-71.062729
Tuesday,42.34259,-71.06316
Tuesday,42.339548,-71.065333
Tuesday,42.33803,-71.0675
Tuesday,42.33754,-71.06825
Tuesday,42.33748,-71.06833
Tuesday,42.33741,-71.06842
Tuesday,42.33701,-71.06896
Tuesday,42.33676,-71.069338
Tuesday,42.336331,-71.07013
Tuesday,42.3321,-71.07597
Tuesday,42.332033,-71.076299
Tuesday,42.331717,-71.076455
Tuesday,42.33907,-71.06601
Tuesday,42.336986,-71.069026
Tuesday,42.341255,-71.065765
Tuesday,42.338452,-71.067007
Tuesday,42.333916,-71.073286
Tuesday,42.332114,-71.076014
Tuesday,42.331671,-71.076514
Tuesday,42.332417,-71.075877
Tuesday,42.335319,-71.071623
Tuesday,42.34544,-71.06172
Tuesday,42.33841,-71.06694
Tuesday,42.33841,-71.06694
Tuesday,42.33841,-71.06694
Tuesday,42.33841,-71.06694
Tuesday,42.33841,-71.06694
Tuesday,42.33841,-71.06694
Tuesday,42.33841,-71.06694
Tuesday,42.33841,-71.06694
Tuesday,42.33841,-71.06694
Tuesday,42.33366,-71.07423
Tuesday,42.33523,-71.07148
Tuesday,42.33274,-71.07481
Tuesday,42.331754,-71.076396
Tuesday,42.339099,-71.06605
Tuesday,42.242929,-71.13274
Tuesday,42.2424,-71.13362
Tuesday,42.24239,-71.13355
Tuesday,42.2425,-71.13395
Tuesday,42.24241,-71.1337
Tuesday,42.24264,-71.13336
Tuesday,42.24273,-71.13361
Tuesday,42.24273,-71.13361
Tuesday,42.24273,-71.13361
Tuesday,42.24273,-71.13361
Tuesday,42.242525,-71.133042
Tuesday,42.242726,-71.132949
Tuesday,42.2833,-71.14226
Tuesday,42.2834,-71.14269
Tuesday,42.28328,-71.14281
Tuesday,42.28584,-71.13981
Tuesday,42.28298,-71.14263
Tuesday,42.282995,-71.143188
Tuesday,42.28286,-71.14273
Tuesday,42.2829,-71.1433
Tuesday,42.28224,-71.14403
Tuesday,42.28205,-71.14374
Tuesday,42.28213,-71.14415
Tuesday,42.28195,-71.14387
Tuesday,42.28203,-71.14429
Tuesday,42.28175,-71.14465
Tuesday,42.28156,-71.14436
Tuesday,42.28563,-71.14006
Tuesday,42.28564,-71.13952
Tuesday,42.28532,-71.14043
Tuesday,42.28533,-71.13992
Tuesday,42.28521,-71.14052
Tuesday,42.28523,-71.13999
Tuesday,42.28494,-71.1409
Tuesday,42.28482,-71.14048
Tuesday,42.28483,-71.14103
Tuesday,42.28472,-71.14063
Tuesday,42.28472,-71.14112
Tuesday,42.28451,-71.14138
Tuesday,42.28441,-71.14149
Tuesday,42.28442,-71.14094
Tuesday,42.28434,-71.14164
Tuesday,42.2842,-71.14176
Tuesday,42.2842,-71.14176
Tuesday,42.2842,-71.14176
Tuesday,42.28421,-71.14121
Tuesday,42.28397,-71.14144
Tuesday,42.317325,-71.11048
Tuesday,42.317766,-71.109466
Tuesday,42.31785,-71.10988
Tuesday,42.31767,-71.10953
